category,brand,name,price_eur,rating_count,specs,image_url
SSD,Intel,Intel DC S3710,307.83,0,"{""Cache"":"""",""Capacity"":""800 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.385"",""Type"":""SSD""}",https://m.media-amazon.com/images/I/41WRIIWcK+L.jpg
SSD,Intel,Intel 545s,184.99,1,"{""Cache"":"""",""Capacity"":""128 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac1.445"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/ae4bb1771c3b6b56994f59af5a584351.256p.jpg
SSD,Intel,Intel 660p,168.58,6,"{""Cache"":"""",""Capacity"":""512 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.329"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/b464bdec5854d8124047947b82b77599.256p.jpg
SSD,Intel,Intel 730,787.53,9,"{""Cache"":"""",""Capacity"":""480 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac1.641"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/b704d3620547b834ca8b55f199105088.256p.jpg
SSD,Intel,Intel DC P4511,858.48,0,"{""Cache"":"""",""Capacity"":""2 TB"",""Form Factor"":""M.2-22110"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.429"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/41ad4d3888f52759f5d9a36f26e54c81.256p.jpg
SSD,Intel,Intel DC S3610,574.7,0,"{""Cache"":"""",""Capacity"":""1.6 TB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.359"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/02731633c03bd202b4a7fb39cac5ac9a.256p.jpg
SSD,Intel,Intel 530,186.14,8,"{""Cache"":"""",""Capacity"":""180 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac1.034"",""Type"":""SSD""}",https://m.media-amazon.com/images/I/21DRjyliWiL.jpg
SSD,Intel,Intel DC S4600,855.66,0,"{""Cache"":"""",""Capacity"":""1.9 TB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac0.450"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/34fb7fc44ecd489572324b9c124129b7.256p.jpg
SSD,Intel,Intel DC S3700,245.3,1,"{""Cache"":"""",""Capacity"":""100 GB"",""Form Factor"":""2.5\"""",""Interface"":""SATA 6.0 Gb\/s"",""Price \/ GB"":""\u20ac2.453"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/4fb647de616047fc3118b22a17bd9be7.256p.jpg
SSD,Intel,Intel 760p,186.0,1,"{""Cache"":"""",""Capacity"":""512 GB"",""Form Factor"":""M.2-2280"",""Interface"":""M.2 PCIe 3.0 X4"",""Price \/ GB"":""\u20ac0.363"",""Type"":""SSD""}",https://cdna.pcpartpicker.com/static/forever/images/product/87a48432dd21089fa338cb7e0e660ea5.256p.jpg
SSD,Intel,Intel DC P3608,997.35,0,"{""Cache"":"""",""Capacity"":""1.6 TB"",""Form Factor"":""PCIe"",""Interface"":""PCIe x8"",""Price \/ GB"":""\u20ac0.623"",""Type"":""SSD""}",https://images-na.ssl-images-amazon.com/images/I/41tF43Wbj6L.jpg
