category,brand,name,price,rating_count,specs,image_url
CASE,Chieftec,Chieftec APEX AIR,119100,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/467e4b4566e2b6d9c9bfc7344660b5a1.256p.jpg
CASE,Fractal Design,Fractal Design Torrent RGB,263200,2,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/beb295be86f6cba42bbd984f3461de83.256p.jpg
CASE,KOLINK,KOLINK Stronghold Prism,177800,0,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/03572d44b3f7e453d1fe8fae58ae4e17.256p.jpg
CASE,Montech,Montech HS01 PRO,113700,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/f1bf8ea99d886f9dab7e52e11da32e56.256p.jpg
CASE,Thermaltake,Thermaltake AX700,538600,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""18"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Full Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/63d44f74d08d01175e744aefb24bb9ce.256p.jpg
CASE,Silverstone,Silverstone Lucid 04,105100,0,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/e7398e939c3c3a79b6f9f73e369d8127.256p.jpg
CASE,Jonsbo,Jonsbo D31 MESH,96100,4,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/a277d80e8da8db9edfdfcb3bcb504cfc.256p.jpg
CASE,Corsair,Corsair Crystal 280X RGB,236000,12,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""MicroATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/b8b333efacd7d6445dd8833a8dc551fd.256p.jpg
CASE,Fractal Design,Fractal Design Pop Air,165000,6,"{""Color"": ""Cyan / Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/6ee8c547e4d20fbafa0fbce2c982b9a1.256p.jpg
CASE,MSI,MSI MPG GUNGNIR 111R,175200,2,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/62eb18a23eb09c01f25418f33975ce7c.256p.jpg
