category,brand,name,price,rating_count,specs,image_url
CPU,AMD,AMD Ryzen 7 3800X,741200,139,"{""Core Clock"": ""3.9 GHz"", ""Boost Clock"": ""4.5 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen 2"", ""TDP"": ""105 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg
CPU,AMD,AMD Ryzen 5 1600 (14nm),343100,354,"{""Core Clock"": ""3.2 GHz"", ""Boost Clock"": ""3.6 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""6"", ""Microarchitecture"": ""Zen"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/71be15e31e700684bc9c8fb697bd4f11.256p.jpg
CPU,Intel,Intel Core i7-4770K,281400,464,"{""Core Clock"": ""3.5 GHz"", ""Boost Clock"": ""3.9 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Haswell"", ""TDP"": ""84 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/0817a8a69b3fa53b911056cd5c01262e.256p.jpg
CPU,Intel,Intel Core i5-6600K,302500,427,"{""Core Clock"": ""3.5 GHz"", ""Boost Clock"": ""3.9 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Skylake"", ""TDP"": ""91 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/39c7a343d00445b6e0e5d54d4b7ed561.256p.jpg
CPU,Intel,Intel Core i3-6100,90700,159,"{""Core Clock"": ""3.7 GHz"", ""Boost Clock"": """", ""Socket"": ""LGA1200"", ""Core Count"": ""2"", ""Microarchitecture"": ""Skylake"", ""TDP"": ""51 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/97965106af18bd4de0b76f99d5bcb16c.256p.jpg
CPU,Intel,Intel Core i7-3770K,325200,219,"{""Core Clock"": ""3.5 GHz"", ""Boost Clock"": """", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Ivy Bridge"", ""TDP"": ""77 W""}",https://m.media-amazon.com/images/I/51YOxrhsT8L.jpg
CPU,AMD,AMD Ryzen 7 1700,569900,168,"{""Core Clock"": ""3 GHz"", ""Boost Clock"": ""3.7 GHz"", ""Socket"": ""AM4"", ""Core Count"": ""8"", ""Microarchitecture"": ""Zen"", ""TDP"": ""65 W""}",https://cdna.pcpartpicker.com/static/forever/images/product/d57406e2534cf5ae6cb9141e656374f4.256p.jpg
CPU,Intel,Intel Core i5-4460,160700,101,"{""Core Clock"": ""3.2 GHz"", ""Boost Clock"": ""3.4 GHz"", ""Socket"": ""LGA1151"", ""Core Count"": ""4"", ""Microarchitecture"": ""Haswell Refresh"", ""TDP"": ""84 W""}",https://m.media-amazon.com/images/I/51m7EsJG9-L.jpg
CASE,Montech,Montech XR,92900,83,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
CASE,Lian Li,Lian Li Vector V100R,108100,20,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/33c1bd4bd2b68730e185a80a0b6e7750.256p.jpg
CASE,Lian Li,Lian Li O11 VISION COMPACT,179000,31,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
CASE,Lian Li,Lian Li O11 VISION COMPACT,202400,31,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/2378ddd83c556329e01372a181d44328.256p.jpg
CASE,Fractal Design,Fractal Design North,162500,80,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg
CASE,Corsair,Corsair FRAME 4000D RS ARGB,150800,22,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg
CASE,Cooler Master,Cooler Master MasterBox Q300L,74000,186,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Acrylic"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
CASE,Lian Li,Lian Li A3-mATX,116800,28,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
CASE,Fractal Design,Fractal Design North XL,206900,22,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tinted Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Full Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg
CASE,Lian Li,Lian Li O11D EVO RGB,223800,27,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""4"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""420 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg
CASE,Lian Li,Lian Li A3-mATX,141800,42,"{""Color"": ""Black / Brown"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""MicroATX Mini Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/4b279bc4cdfb4a3e52c9bfa879746ab5.256p.jpg
CASE,Phanteks,Phanteks XT PRO ULTRA,103600,25,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg
CASE,Fractal Design,Fractal Design Terra,259400,27,"{""Color"": ""Black / Brown"", ""Internal 3.5\"" Bays"": ""0"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""Mini ITX Desktop""}",https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg
CASE,Lian Li,Lian Li Lancool 207,117800,33,"{""Color"": ""Blue"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg
CASE,NZXT,NZXT H6 Flow,124700,39,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg
CASE,Montech,Montech AIR 903 MAX,184500,65,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://m.media-amazon.com/images/I/519WrOWiOhL.jpg
CASE,Lian Li,Lian Li LANCOOL 216 RGB,136600,59,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg
CASE,NZXT,NZXT H6 Flow,147900,49,"{""Color"": ""White"", ""Internal 3.5\"" Bays"": ""1"", ""Side Panel"": ""Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/f0363dfe4d946330b9b5f65a3b38722f.256p.jpg
CASE,Fractal Design,Fractal Design Terra,261700,27,"{""Color"": ""Green / Brown"", ""Internal 3.5\"" Bays"": ""0"", ""Side Panel"": ""Mesh"", ""Max GPU Length"": ""330 mm"", ""Form Factor"": ""Mini ITX Desktop""}",https://cdna.pcpartpicker.com/static/forever/images/product/46f3b3672c252def1f9cc56db0a11b61.256p.jpg
CASE,Fractal Design,Fractal Design Meshify C,149200,302,"{""Color"": ""Black"", ""Internal 3.5\"" Bays"": ""2"", ""Side Panel"": ""Tinted Tempered Glass"", ""Max GPU Length"": ""380 mm"", ""Form Factor"": ""ATX Mid Tower""}",https://cdna.pcpartpicker.com/static/forever/images/product/5e077c6b1272ca2c11e4f7df6326370a.256p.jpg
